fold,epoch,train_loss,val_mae
0,1,0.7982773440224784,17.79383512464994
0,2,0.8148309576268099,13.399540290080298
0,3,0.6958106561582915,9.283926856561271
0,4,0.7304442707373171,38.85189349299073
0,5,0.6770582387641985,14.675354052888656
0,6,0.7147909074413533,16.779586919838767
0,7,0.5885804301621963,18.906386081453842
0,8,0.5896510652133397,9.738551613090435
0,9,0.5869605492572395,9.409419993821743
0,10,0.5090799970286233,13.27528320476611
0,11,0.6562622250342856,11.288163002463744
0,12,0.554527077747851,19.84534818228558
0,13,0.5225805743616454,18.54581513143576
0,14,0.5108274823548843,15.73149931730807
0,15,0.5102534008269407,11.215694589492124
0,16,0.5316487124988011,11.130815729837545
0,17,0.4854364151857337,12.534172751044755
0,18,0.5377365898112861,9.713347052296172
0,19,0.4416125745189433,12.360476789648168
0,20,0.45090591846680156,10.525804808930513
0,21,0.4709198493130353,9.727616617827701
0,22,0.4340000456693221,9.868130303523635
0,23,0.4715406119215245,9.635722500962173
0,24,0.4182180382159291,9.903653032624577
0,25,0.4368727146362772,9.935805607688964
0,26,0.4546394427211917,10.05913247221012
0,27,0.3882090418922658,10.737795816229916
0,28,0.4144940464472284,10.493863030242805
0,29,0.45682381792944304,10.361353226208452
0,30,0.403041562255548,10.418080504362724
1,1,0.7741204512362577,16.23834294375908
1,2,0.7018200305043435,17.512372507618508
1,3,0.6200216044576801,15.341561030729475
1,4,0.7189915800581173,16.912227119522118
1,5,0.6722072229093435,14.01321615941806
1,6,0.5298327535999064,16.942425830734795
1,7,0.6013710930639383,12.089253341125318
1,8,0.5842808703986966,24.76790854010124
1,9,0.6511033457152697,16.46669360563308
1,10,0.6364397193704333,20.752493402692675
1,11,0.5209826699325016,14.809909290565225
1,12,0.5378887039058062,11.595102252958256
1,13,0.560393036628256,11.81114126821112
1,14,0.5216273264009126,12.154583244708057
1,15,0.5469950805513226,16.673515607665227
1,16,0.5012081563472748,15.714079621908473
1,17,0.5030809598309653,12.44865261935552
1,18,0.4366164207458496,9.699282674721962
1,19,0.3932300155260125,13.84551023200267
1,20,0.49319283329710667,13.059648411321362
1,21,0.3964838653194661,15.155420803430218
1,22,0.4849198998845353,10.830574703523116
1,23,0.4616781047412327,11.485009407997904
1,24,0.44050795508890733,11.737097203896912
1,25,0.44147198084665806,10.73376294445034
1,26,0.44990466504680865,11.12673048019664
1,27,0.3862093826945947,11.317725766413233
1,28,0.5068966539538636,10.990963251558492
1,29,0.38289892034871237,10.974620226460548
1,30,0.36461955613019514,10.979304372646896
2,1,0.8209160979913206,16.455612379889054
2,2,0.6426028737000057,12.171801477298567
2,3,0.7158753768521913,14.560312924801565
2,4,0.6007079171891115,16.661439297352103
2,5,0.5969019489628928,10.485694492122802
2,6,0.5166707111864673,13.49069826667901
2,7,0.5962774498122079,17.314796052032566
2,8,0.5601482427850062,14.756295191194663
2,9,0.5200554795411169,13.814155538748965
2,10,0.5049117767080968,21.721485323478692
2,11,0.5411566742220704,14.041693083979464
2,12,0.5161016905794338,14.412818097689621
2,13,0.4997048305005443,15.703459180862344
2,14,0.5524659272359342,12.211123224178044
2,15,0.5700811269331951,11.253672658109782
2,16,0.4224393851294809,16.53362718862365
2,17,0.47425051246370586,13.243599797287574
2,18,0.4793877838825693,13.536927698328931
2,19,0.46945170723662083,15.327505556405074
2,20,0.5524515874531805,11.798687774207247
2,21,0.47308229366127325,11.813096211665886
2,22,0.3934900964401206,12.407606759548361
2,23,0.44043965211936403,12.627416472815325
2,24,0.4305204055747207,10.950090140173732
2,25,0.40713204990844337,11.047088334336259
2,26,0.45986719794419345,11.091698924940529
2,27,0.3804703366999723,10.962241740678166
2,28,0.47443076572856124,11.435756323458108
2,29,0.44772790372371674,11.055190712547141
2,30,0.40615268872708693,11.004118837929314
3,1,0.7650093743295381,15.624575679563145
3,2,0.718776179684533,22.75832769773397
3,3,0.6543123366856816,20.38018251063913
3,4,0.6660044795334942,21.70683776956353
3,5,0.6606860678605359,16.083787389364264
3,6,0.6180936904868695,39.31602146779044
3,7,0.6225607792536417,11.856781358472935
3,8,0.49490921665923765,24.108838447742425
3,9,0.655075177399799,13.797554214601695
3,10,0.6121827327843868,13.73806613551347
3,11,0.611413735331911,10.861078581414766
3,12,0.49234563383189117,17.57867562527667
3,13,0.4599374066097568,12.108630157973906
3,14,0.49814453570529665,11.529238493041532
3,15,0.6159080477676007,17.002436496926407
3,16,0.499365589835427,12.667555141761214
3,17,0.46967853199351917,10.524119302385571
3,18,0.47136354807651404,12.088703843206309
3,19,0.4086852046576413,12.99542977505891
3,20,0.4551203085316552,14.848111388794443
3,21,0.5341338822335908,10.456245177542515
3,22,0.4444254600640499,11.184200554711936
3,23,0.4604825826004298,10.45028107279805
3,24,0.48471553578521265,10.872476602367923
3,25,0.4938096614799114,10.888781697636533
3,26,0.40379275968580536,10.515743968342322
3,27,0.5005324659022418,10.23919180995932
3,28,0.5130508150717225,10.31620432497545
3,29,0.43723252927414097,10.17901484991164
3,30,0.4444433866125165,10.204532227405407
4,1,0.821810143764573,24.60211112916511
4,2,0.6267730581639993,37.10955797087013
4,3,0.7075647696702168,16.003601006691905
4,4,0.6795550389121278,15.21585531339968
4,5,0.6290433798173461,18.535701519559137
4,6,0.536330810098937,14.511465356675565
4,7,0.6473495641140022,13.201810470185924
4,8,0.5592473817594124,12.98316473603939
4,9,0.5416840257668736,14.964681819105556
4,10,0.6004398426022193,18.796820764594766
4,11,0.6007956760098235,12.631306185081712
4,12,0.5479890210459931,15.844034138663327
4,13,0.6641002490062906,17.86352325090542
4,14,0.5954095058970981,13.467945159240434
4,15,0.4898826013309787,14.25298065715188
4,16,0.5007316828376115,12.860517933364967
4,17,0.4583297585598146,17.49279032205877
4,18,0.5129862716703704,12.94516196677162
4,19,0.5281323939561844,13.307120889213996
4,20,0.5297040195778163,12.950886795262628
4,21,0.48108521404892507,12.847498931780715
4,22,0.4508824784948368,12.675196812125835
4,23,0.48573020371523773,13.018999860495127
4,24,0.48189333502692405,12.8835958738994
4,25,0.3313725205382915,13.2518837622044
4,26,0.5596042275428772,12.959457039772127
4,27,0.40576751936565747,12.765564879596445
4,28,0.463151198745978,13.657408973067042
4,29,0.43693204269264685,12.895291325989092
4,30,0.4432187435602901,12.914046986831595
