fold,epoch,train_loss,val_auc,val_acc
0,1,0.6801802552476222,0.577922077922078,0.44
0,2,0.5828859319492262,0.8376623376623376,0.64
0,3,0.5142213440671259,0.8506493506493507,0.56
0,4,0.42114585942151594,0.8311688311688311,0.56
0,5,0.412558915055528,0.9090909090909091,0.8
0,6,0.38740704132586107,0.8766233766233766,0.68
0,7,0.4272897675329325,0.9415584415584416,0.52
0,8,0.38173345864123226,0.935064935064935,0.64
0,9,0.33570268978269735,0.948051948051948,0.88
0,10,0.3548958000479912,0.974025974025974,0.96
0,11,0.3056524721335392,0.935064935064935,0.8
0,12,0.27803223580121994,0.9545454545454545,0.76
0,13,0.2841727627175195,0.9610389610389609,0.8
0,14,0.3219498268195561,0.961038961038961,0.84
0,15,0.2165126133025909,0.948051948051948,0.84
0,16,0.21828196684316714,0.9610389610389609,0.88
0,17,0.19891127031676623,0.9805194805194805,0.96
0,18,0.25385125346329745,0.9675324675324675,0.76
0,19,0.2179691654687025,0.948051948051948,0.84
0,20,0.1863213467354677,0.9545454545454546,0.8
0,21,0.169745856249819,1.0,0.84
0,22,0.24405278394720992,0.9805194805194806,0.84
0,23,0.3618285066771264,0.9675324675324676,0.88
0,24,0.2084802027259554,0.948051948051948,0.88
0,25,0.2028892487667653,0.974025974025974,0.96
0,26,0.19109618990701072,0.9675324675324675,0.92
0,27,0.11808040943376873,0.974025974025974,0.92
0,28,0.14847926557900346,0.974025974025974,0.92
0,29,0.23557955634837247,0.974025974025974,0.92
0,30,0.14379781100670902,0.9675324675324675,0.92
1,1,0.6998276223941725,0.8051948051948052,0.52
1,2,0.6058198067606712,0.9610389610389609,0.72
1,3,0.5661633343112712,0.7922077922077921,0.44
1,4,0.47485209666952793,0.8896103896103895,0.76
1,5,0.4587438720829633,0.7012987012987013,0.44
1,6,0.48029459678396885,0.9545454545454545,0.44
1,7,0.44480411860407615,0.9870129870129871,0.88
1,8,0.3589599515710558,0.9545454545454546,0.6
1,9,0.38937967833207576,0.9675324675324675,0.76
1,10,0.39786712065034985,0.7987012987012987,0.6
1,11,0.33951899074778263,0.9675324675324675,0.8
1,12,0.25562851587120367,0.987012987012987,0.92
1,13,0.27438064649397015,0.9545454545454545,0.8
1,14,0.29744609643001946,0.9610389610389609,0.92
1,15,0.18560339388798694,0.9675324675324675,0.92
1,16,0.34191434883645605,0.9545454545454546,0.68
1,17,0.18113598151474583,0.9545454545454546,0.96
1,18,0.19669107705050584,0.9805194805194805,0.92
1,19,0.2131758196165367,0.9610389610389609,0.76
1,20,0.1890293625848634,0.9285714285714286,0.72
1,21,0.13611300342849322,0.9675324675324675,0.96
1,22,0.11959062197378703,0.9870129870129871,0.96
1,23,0.1882933784960484,0.9805194805194805,0.92
1,24,0.2213418187991697,0.9805194805194805,0.96
1,25,0.12709601474355678,0.9675324675324675,0.96
1,26,0.19460570561338444,0.9675324675324675,0.92
1,27,0.11085480624543768,0.974025974025974,0.96
1,28,0.1188166908615706,0.9675324675324675,0.96
1,29,0.09276190901897391,0.9675324675324675,0.96
1,30,0.23966974320308287,0.9675324675324675,0.88
2,1,0.6746228775199579,0.6233766233766234,0.44
2,2,0.6229250090462821,0.9285714285714286,0.68
2,3,0.5285841500272557,0.8181818181818182,0.56
2,4,0.5035962407686272,0.935064935064935,0.72
2,5,0.46854650214010357,0.9155844155844155,0.48
2,6,0.35979238669483027,0.9025974025974026,0.8
2,7,0.40862790175846647,0.9545454545454546,0.64
2,8,0.38828960669283963,1.0,0.96
2,9,0.384820540036474,1.0,0.64
2,10,0.3645337335005098,0.9805194805194806,0.84
2,11,0.3328395987651786,0.961038961038961,0.64
2,12,0.3247081610773291,1.0,0.88
2,13,0.2441781002039812,1.0,0.92
2,14,0.298897566387848,1.0,0.76
2,15,0.3283201252319375,1.0,0.88
2,16,0.32562617242944486,1.0,0.96
2,17,0.3054467786331566,0.9870129870129871,0.64
2,18,0.3027280119760912,0.961038961038961,0.52
2,19,0.21463637510124517,1.0,0.96
2,20,0.2690847209673755,1.0,1.0
2,21,0.1855940774691348,1.0,0.96
2,22,0.24690156353979695,1.0,0.96
2,23,0.23382579672093295,1.0,1.0
2,24,0.19812788213698232,1.0,0.92
2,25,0.2047632005141706,1.0,1.0
2,26,0.0918140495005919,1.0,0.96
2,27,0.24949711998354415,1.0,0.92
2,28,0.16605988585827303,1.0,0.96
2,29,0.11475274301305109,1.0,0.96
2,30,0.1743045941147269,1.0,0.96
3,1,0.6705993624648663,0.7142857142857143,0.4166666666666667
3,2,0.5962613005228717,0.907142857142857,0.7916666666666666
3,3,0.5227438518495271,0.9071428571428571,0.625
3,4,0.40722615505107723,0.8571428571428572,0.625
3,5,0.37619112477158057,0.9285714285714286,0.5416666666666666
3,6,0.31620716476681254,0.9357142857142857,0.5833333333333334
3,7,0.35419738796925304,0.9214285714285715,0.75
3,8,0.282513684245071,0.9357142857142857,0.7083333333333334
