epoch,val_acc,train_acc
1,76.19047619047619,63.095238095238095
2,76.19047619047619,58.333333333333336
3,76.19047619047619,59.523809523809526
4,71.42857142857143,58.333333333333336
5,71.42857142857143,54.76190476190476
6,71.42857142857143,58.333333333333336
7,71.42857142857143,53.57142857142857
8,66.66666666666667,66.66666666666667
9,71.42857142857143,59.523809523809526
10,71.42857142857143,66.66666666666667
11,71.42857142857143,57.142857142857146
12,71.42857142857143,61.904761904761905
13,71.42857142857143,55.95238095238095
14,66.66666666666667,61.904761904761905
15,61.904761904761905,60.714285714285715
16,76.19047619047619,51.19047619047619
17,71.42857142857143,60.714285714285715
18,71.42857142857143,61.904761904761905
19,71.42857142857143,53.57142857142857
20,76.19047619047619,64.28571428571429
21,76.19047619047619,61.904761904761905
22,71.42857142857143,57.142857142857146
23,71.42857142857143,59.523809523809526
24,57.142857142857146,61.904761904761905
25,71.42857142857143,60.714285714285715
26,71.42857142857143,67.85714285714286
27,71.42857142857143,54.76190476190476
28,71.42857142857143,65.47619047619048
29,71.42857142857143,61.904761904761905
30,66.66666666666667,65.47619047619048
