epoch,train_acc,val_acc
1,54.166666666666664,64.51612903225806
2,55.0,61.29032258064516
3,52.5,64.51612903225806
4,57.5,77.41935483870968
5,64.16666666666667,77.41935483870968
6,61.666666666666664,77.41935483870968
7,59.166666666666664,77.41935483870968
8,53.333333333333336,80.64516129032258
9,59.166666666666664,77.41935483870968
10,60.0,80.64516129032258
11,55.833333333333336,74.19354838709677
12,55.0,80.64516129032258
13,61.666666666666664,74.19354838709677
14,62.5,77.41935483870968
15,63.333333333333336,77.41935483870968
16,65.83333333333333,74.19354838709677
17,61.666666666666664,74.19354838709677
18,64.16666666666667,77.41935483870968
19,59.166666666666664,74.19354838709677
20,53.333333333333336,74.19354838709677
21,67.5,77.41935483870968
22,60.833333333333336,77.41935483870968
23,60.833333333333336,77.41935483870968
24,61.666666666666664,77.41935483870968
25,62.5,77.41935483870968
26,67.5,77.41935483870968
27,62.5,77.41935483870968
28,64.16666666666667,77.41935483870968
29,58.333333333333336,77.41935483870968
30,63.333333333333336,77.41935483870968
