fold,epoch,train_loss,val_auc,val_acc
0,1,0.6478634160392138,0.4740259740259741,0.44
0,2,0.5311418431145805,0.8441558441558441,0.44
0,3,0.5335493823703454,0.9090909090909091,0.76
0,4,0.5030623309466303,0.935064935064935,0.64
0,5,0.519494812099301,0.8571428571428571,0.8
0,6,0.3882926145986635,0.922077922077922,0.8
0,7,0.4201696235306409,0.9675324675324675,0.44
0,8,0.4148032008385172,0.9090909090909091,0.8
0,9,0.402063037059745,0.948051948051948,0.96
0,10,0.35381235547211703,0.8961038961038961,0.84
0,11,0.31853617302009035,0.974025974025974,0.68
0,12,0.3139861813005136,0.935064935064935,0.8
0,13,0.2824426132197283,0.8766233766233766,0.76
0,14,0.3662394011507229,0.9870129870129871,0.68
0,15,0.28400095263305974,0.9935064935064936,0.88
0,16,0.20764161859239852,0.9870129870129871,0.88
0,17,0.12878272043807165,1.0,1.0
0,18,0.2890025524764645,0.9805194805194805,0.64
0,19,0.20897065589622577,0.9870129870129871,0.96
0,20,0.14014373898354113,0.9935064935064936,0.92
0,21,0.21800261545850305,0.9870129870129871,0.96
0,22,0.23893240580753405,0.9870129870129871,0.92
0,23,0.1747160331555167,0.9870129870129871,0.96
0,24,0.12437120102802102,0.9870129870129871,0.96
0,25,0.2418324980808764,0.9935064935064936,0.96
0,26,0.11505663144041081,0.9935064935064936,0.96
0,27,0.2244200649462184,0.9935064935064936,0.96
0,28,0.2216759638442677,0.9935064935064936,0.96
0,29,0.1617084230695452,0.9935064935064936,0.96
0,30,0.28483028918960873,0.9935064935064936,0.96
1,1,0.6794989255009866,0.5974025974025974,0.44
1,2,0.626771765095847,0.7337662337662338,0.64
1,3,0.4994480433512707,0.948051948051948,0.92
1,4,0.35378960322360603,0.9610389610389609,0.76
1,5,0.4270802328781206,0.7597402597402597,0.44
1,6,0.4222599541654392,0.974025974025974,0.8
1,7,0.40102765344235364,0.974025974025974,0.96
1,8,0.41289463091869744,0.9805194805194805,0.92
1,9,0.41664954229277007,1.0,0.92
1,10,0.3520085933257122,0.935064935064935,0.88
1,11,0.3161149341232923,0.9610389610389611,0.44
1,12,0.4103513804017281,1.0,0.96
1,13,0.3317905422680232,0.9545454545454546,0.88
1,14,0.3695945532954469,0.9675324675324675,0.92
1,15,0.31074203961357777,1.0,0.92
1,16,0.31732452782441156,0.974025974025974,0.92
1,17,0.29261633149367205,0.9935064935064936,0.96
1,18,0.30175022035837173,0.9870129870129871,0.96
1,19,0.23720381439340357,0.9675324675324676,0.92
1,20,0.22306494992606493,0.9805194805194806,0.88
1,21,0.14155780619048342,0.961038961038961,0.88
1,22,0.14392247446337525,0.9545454545454546,0.92
1,23,0.08737165921804857,0.9805194805194806,0.88
1,24,0.15975454806977388,0.9675324675324676,0.92
1,25,0.23002108349939998,0.9805194805194806,0.96
1,26,0.2545039205982977,0.987012987012987,0.92
1,27,0.19079858722279266,0.9805194805194806,0.92
1,28,0.26440513278452715,0.9805194805194806,0.92
1,29,0.15177895007084827,0.9805194805194806,0.92
